--- Terminal on /dev/ttyACM0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.83
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.07
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.13
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.70
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.12
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.10
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.68
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.09
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.09
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.08
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.66
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.07
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.64
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.06
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.06
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -13.41
 | Error: 0.5 | TiltRate: 0.6 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.18
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.76
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.17
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.75
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.16
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.16
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.73
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.15
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.72
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.14
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.71
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.31
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.52
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.11
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.11
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.10
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.09
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.66
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.08
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.26
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.66
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.88
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.64
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.05
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -8.63
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -9.04
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -8.61
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -9.03
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -9.03
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -8.60
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -9.01
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -8.59
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -9.00
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -8.59
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -8.99
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.64 | Setpoint: 180.20 | Error: 0.44 | Output: -8.99
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -13.35
 | Error: 0.4 | TiltRate: 0.6 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.12
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.11
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.11
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -8.68
 | Error: 0.4 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.09
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.28
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.10
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.10
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -13.88
 | Error: 0.5 | TiltRate: 0.7 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.24
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.24
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.24
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.24
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.43
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.65 | Setpoint: 180.20 | Error: 0.45 | Output: -9.25
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -14.03
 | Error: 0.5 | TiltRate: 0.7 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -9.39
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -9.39
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -9.37
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -9.39
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -9.39
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -10.00
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -8.98
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -9.39
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -9.82
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -9.40
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.66 | Setpoint: 180.20 | Error: 0.46 | Output: -9.40
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.67 | Setpoint: 180.20 | Error: 0.47 | Output: -14.18
 | Error: 0.5 | TiltRate: 0.7 | MotorSpeed: -40Pitch: 180.67 | Setpoint: 180.20 | Error: 0.47 | Output: -9.54
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.67 | Setpoint: 180.20 | Error: 0.47 | Output: -9.54
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.67 | Setpoint: 180.20 | Error: 0.47 | Output: -9.54
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.67 | Setpoint: 180.20 | Error: 0.47 | Output: -9.54
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.67 | Setpoint: 180.20 | Error: 0.47 | Output: -9.54
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.68 | Setpoint: 180.20 | Error: 0.48 | Output: -14.51
 | Error: 0.5 | TiltRate: 0.7 | MotorSpeed: -40Pitch: 180.68 | Setpoint: 180.20 | Error: 0.48 | Output: -9.69
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.68 | Setpoint: 180.20 | Error: 0.48 | Output: -9.69
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.68 | Setpoint: 180.20 | Error: 0.48 | Output: -9.69
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.68 | Setpoint: 180.20 | Error: 0.48 | Output: -9.69
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.68 | Setpoint: 180.20 | Error: 0.48 | Output: -14.47
 | Error: 0.5 | TiltRate: 0.7 | MotorSpeed: -40Pitch: 180.68 | Setpoint: 180.20 | Error: 0.48 | Output: -9.83
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.68 | Setpoint: 180.20 | Error: 0.48 | Output: -9.83
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.68 | Setpoint: 180.20 | Error: 0.48 | Output: -9.83
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.68 | Setpoint: 180.20 | Error: 0.48 | Output: -9.83
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.68 | Setpoint: 180.20 | Error: 0.48 | Output: -9.83
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.69 | Setpoint: 180.20 | Error: 0.49 | Output: -14.61
 | Error: 0.5 | TiltRate: 0.7 | MotorSpeed: -40Pitch: 180.69 | Setpoint: 180.20 | Error: 0.49 | Output: -10.58
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.69 | Setpoint: 180.20 | Error: 0.49 | Output: -9.56
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.69 | Setpoint: 180.20 | Error: 0.49 | Output: -10.40
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.69 | Setpoint: 180.20 | Error: 0.49 | Output: -9.99
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.70 | Setpoint: 180.20 | Error: 0.50 | Output: -14.77
 | Error: 0.5 | TiltRate: 0.7 | MotorSpeed: -40Pitch: 180.70 | Setpoint: 180.20 | Error: 0.50 | Output: -10.13
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.70 | Setpoint: 180.20 | Error: 0.50 | Output: -10.13
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.70 | Setpoint: 180.20 | Error: 0.50 | Output: -10.13
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.70 | Setpoint: 180.20 | Error: 0.50 | Output: -10.13
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.70 | Setpoint: 180.20 | Error: 0.50 | Output: -10.13
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.70 | Setpoint: 180.20 | Error: 0.50 | Output: -10.13
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.70 | Setpoint: 180.20 | Error: 0.50 | Output: -10.31
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.70 | Setpoint: 180.20 | Error: 0.50 | Output: -10.13
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -14.91
 | Error: 0.5 | TiltRate: 0.7 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.27
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.27
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.27
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.27
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.27
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -15.05
 | Error: 0.5 | TiltRate: 0.7 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.60
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.42
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.42
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.42
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.42
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.42
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.42
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.71 | Setpoint: 180.20 | Error: 0.51 | Output: -10.42
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.72 | Setpoint: 180.20 | Error: 0.52 | Output: -15.20
 | Error: 0.5 | TiltRate: 0.7 | MotorSpeed: -40Pitch: 180.72 | Setpoint: 180.20 | Error: 0.52 | Output: -10.56
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.72 | Setpoint: 180.20 | Error: 0.52 | Output: -10.56
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.72 | Setpoint: 180.20 | Error: 0.52 | Output: -10.56
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -15.34
 | Error: 0.5 | TiltRate: 0.6 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.70
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.70
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.70
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.89
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.70
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -15.49
 | Error: 0.5 | TiltRate: 0.6 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.84
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.84
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.84
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.85
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.85
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.85
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.85
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.85
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.85
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -10.85
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.73 | Setpoint: 180.20 | Error: 0.53 | Output: -11.27
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.74 | Setpoint: 180.20 | Error: 0.54 | Output: -15.22
 | Error: 0.5 | TiltRate: 0.6 | MotorSpeed: -40Pitch: 180.74 | Setpoint: 180.20 | Error: 0.54 | Output: -11.41
 | Error: 0.5 | TiltRate: 0.1 | MotorSpeed: -40Pitch: 180.74 | Setpoint: 180.20 | Error: 0.54 | Output: -11.00
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.74 | Setpoint: 180.20 | Error: 0.54 | Output: -11.00
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.74 | Setpoint: 180.20 | Error: 0.54 | Output: -11.00
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.74 | Setpoint: 180.20 | Error: 0.54 | Output: -11.00
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.74 | Setpoint: 180.20 | Error: 0.54 | Output: -11.00
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.74 | Setpoint: 180.20 | Error: 0.54 | Output: -11.00
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.74 | Setpoint: 180.20 | Error: 0.54 | Output: -11.19
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.74 | Setpoint: 180.20 | Error: 0.54 | Output: -11.00
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.75 | Setpoint: 180.20 | Error: 0.55 | Output: -15.79
 | Error: 0.5 | TiltRate: 0.7 | MotorSpeed: -40Pitch: 180.75 | Setpoint: 180.20 | Error: 0.55 | Output: -11.14
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.75 | Setpoint: 180.20 | Error: 0.55 | Output: -11.14
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.75 | Setpoint: 180.20 | Error: 0.55 | Output: -11.14
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.75 | Setpoint: 180.20 | Error: 0.55 | Output: -11.14
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.75 | Setpoint: 180.20 | Error: 0.55 | Output: -11.15
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.75 | Setpoint: 180.20 | Error: 0.55 | Output: -11.15
 | Error: 0.5 | TiltRate: 0.0 | MotorSpeed: -40Pitch: 180.75 | Setpoint: 180.20 | Error: 0.55 | Output: -11.15
