--- Terminal on /dev/ttyACM0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 4.84
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.23
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.23
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.20 | Output: 3.00
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.20 | Output: 2.26
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.20 | Output: 2.26
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 3.05
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: -0.03
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.19
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.19
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.19
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 4.95
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: -0.44
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.40
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.25
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 3.80
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.77
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.25
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 3.03
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.30
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.40
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 3.03
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.29
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.29
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.90
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.32
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.32
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.32
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.32
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.32
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 2.32
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.76
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.24
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.24
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.24
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.24
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.24
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.24
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.24
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.24
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.69
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.17
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.78
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.59
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.78
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.20
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.20
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.20
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.41
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.26
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.70
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.79
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.01
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 4.15
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.25
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.70
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.78
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.41
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.89
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.46
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 3.86
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: -0.47
 | Motors: STOPPEDPitch: 180.01 | Setpoint: 180.22 | Error: -0.20 | Output: 4.57
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.99
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.05
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.64
 | MotorSpeed: 40Pitch: 180.03 | Setpoint: 180.22 | Error: -0.19 | Output: -0.70
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 5.46
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.91
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 0.86
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.77
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.24
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.19 | Output: 1.54
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.55
 | MotorSpeed: 40Pitch: 180.03 | Setpoint: 180.22 | Error: -0.19 | Output: 0.58
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.19 | Output: 3.45
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.39
 | MotorSpeed: 40Pitch: 180.03 | Setpoint: 180.22 | Error: -0.19 | Output: 0.16
 | Motors: STOPPEDPitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 6.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.48
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 4.63
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.20 | Output: 1.21
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.52
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.72
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.05
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 3.06
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.89
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.70
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.20 | Output: 3.83
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 3.31
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 1.98
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.18
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.08
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.07
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.88
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.29
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 1.87
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: 4.67
 | MotorSpeed: 40Pitch: 179.99 | Setpoint: 180.22 | Error: -0.23 | Output: 8.95
 | MotorSpeed: 40Pitch: 179.98 | Setpoint: 180.22 | Error: -0.24 | Output: 6.86
 | MotorSpeed: 40Pitch: 179.98 | Setpoint: 180.22 | Error: -0.24 | Output: 3.33
 | MotorSpeed: 40Pitch: 179.96 | Setpoint: 180.22 | Error: -0.26 | Output: 7.89
 | MotorSpeed: 40Pitch: 179.95 | Setpoint: 180.22 | Error: -0.27 | Output: 6.57
 | MotorSpeed: 40Pitch: 179.96 | Setpoint: 180.22 | Error: -0.26 | Output: 0.05
 | Motors: STOPPEDPitch: 179.95 | Setpoint: 180.22 | Error: -0.26 | Output: 4.43
 | MotorSpeed: 40Pitch: 179.95 | Setpoint: 180.22 | Error: -0.27 | Output: 4.52
 | MotorSpeed: 40Pitch: 179.95 | Setpoint: 180.22 | Error: -0.27 | Output: 4.62
 | MotorSpeed: 40Pitch: 179.95 | Setpoint: 180.22 | Error: -0.27 | Output: 3.15
 | MotorSpeed: 40Pitch: 179.95 | Setpoint: 180.22 | Error: -0.27 | Output: 3.53
 | MotorSpeed: 40Pitch: 179.94 | Setpoint: 180.22 | Error: -0.28 | Output: 4.17
 | MotorSpeed: 40Pitch: 179.94 | Setpoint: 180.22 | Error: -0.27 | Output: 2.84
 | MotorSpeed: 40Pitch: 179.94 | Setpoint: 180.22 | Error: -0.28 | Output: 4.33
 | MotorSpeed: 40Pitch: 179.95 | Setpoint: 180.22 | Error: -0.27 | Output: 1.32
 | MotorSpeed: 40Pitch: 179.96 | Setpoint: 180.22 | Error: -0.26 | Output: 0.42
 | Motors: STOPPEDPitch: 179.96 | Setpoint: 180.22 | Error: -0.25 | Output: 0.94
 | Motors: STOPPEDPitch: 179.96 | Setpoint: 180.22 | Error: -0.25 | Output: 2.84
 | MotorSpeed: 40Pitch: 179.97 | Setpoint: 180.22 | Error: -0.25 | Output: 1.78
 | MotorSpeed: 40Pitch: 179.99 | Setpoint: 180.22 | Error: -0.23 | Output: -3.39
 | MotorSpeed: -40Pitch: 179.99 | Setpoint: 180.22 | Error: -0.23 | Output: 2.72
 | MotorSpeed: 40Pitch: 179.98 | Setpoint: 180.22 | Error: -0.24 | Output: 4.59
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: -5.81
 | MotorSpeed: -40Pitch: 179.99 | Setpoint: 180.22 | Error: -0.23 | Output: 7.46
 | MotorSpeed: 40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.22 | Output: 0.97
 | Motors: STOPPEDPitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: -0.30
 | Motors: STOPPEDPitch: 179.99 | Setpoint: 180.22 | Error: -0.22 | Output: 6.43
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: -1.31
 | MotorSpeed: -40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.22 | Output: 5.32
 | MotorSpeed: 40Pitch: 179.99 | Setpoint: 180.22 | Error: -0.23 | Output: 5.22
 | MotorSpeed: 40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.22 | Output: -1.02
 | MotorSpeed: -40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.21 | Output: 1.47
 | MotorSpeed: 40Pitch: 179.98 | Setpoint: 180.22 | Error: -0.24 | Output: 11.27
 | MotorSpeed: 40Pitch: 179.99 | Setpoint: 180.22 | Error: -0.23 | Output: -2.13
 | MotorSpeed: -40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.22 | Output: 0.50
 | Motors: STOPPEDPitch: 179.98 | Setpoint: 180.22 | Error: -0.24 | Output: 8.43
 | MotorSpeed: 40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.22 | Output: -3.16
 | MotorSpeed: -40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.22 | Output: 2.41
 | MotorSpeed: 40Pitch: 179.99 | Setpoint: 180.22 | Error: -0.23 | Output: 4.38
 | MotorSpeed: 40Pitch: 180.01 | Setpoint: 180.22 | Error: -0.21 | Output: -2.95
 | MotorSpeed: -40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.22 | Output: 6.08
 | MotorSpeed: 40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.22 | Output: 2.17
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.19 | Output: -5.23
 | MotorSpeed: -40Pitch: 179.99 | Setpoint: 180.22 | Error: -0.23 | Output: 13.90
 | MotorSpeed: 40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.22 | Output: -2.09
 | MotorSpeed: -40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: -3.28
 | MotorSpeed: -40Pitch: 179.99 | Setpoint: 180.22 | Error: -0.22 | Output: 10.53
 | MotorSpeed: 40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: -4.58
 | MotorSpeed: -40Pitch: 180.02 | Setpoint: 180.22 | Error: -0.20 | Output: 2.08
 | MotorSpeed: 40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.22 | Output: 8.96
 | MotorSpeed: 40Pitch: 180.00 | Setpoint: 180.22 | Error: -0.22 | Output: 1.40
 | MotorSpeed: 40Pitch: 179.99 | Setpoint: 180.22 | Error: -0.23 | Output: 5.93
 | MotorSpeed: 40Pitch: 179.96 | Setpoint: 180.22 | Error: -0.26 | Output: 12.92
 | MotorSpeed: 40Pitch: 179.96 | Setpoint: 180.22 | Error: -0.26 | Output: 3.35
 | MotorSpeed: 40Pitch: 179.94 | Setpoint: 180.22 | Error: -0.28 | Output: 7.26
 | MotorSpeed: 40Pitch: 179.94 | Setpoint: 180.22 | Error: -0.28 | Output: 5.31
 | MotorSpeed: 40Pitch: 179.94 | Setpoint: 180.22 | Error: -0.28 | Output: 2.24
 | MotorSpeed: 40Pitch: 179.93 | Setpoint: 180.22 | Error: -0.29 | Output: 5.71
 | MotorSpeed: 40Pitch: 179.93 | Setpoint: 180.22 | Error: -0.29 | Output: 4.38
 | MotorSpeed: 40Pitch: 179.94 | Setpoint: 180.22 | Error: -0.28 | Output: 1.07
 | MotorSpeed: 40Pitch: 179.94 | Setpoint: 180.22 | Error: -0.28 | Output: 2.04
 | MotorSpeed: 40Pitch: 179.93 | Setpoint: 180.22 | Error: -0.29 | Output: 7.50
 | MotorSpeed: 40Pitch: 179.93 | Setpoint: 180.22 | Error: -0.29 | Output: 4.31
 | MotorSpeed: 40Pitch: 179.93 | Setpoint: 180.22 | Error: -0.29 | Output: 2.69
 | MotorSpeed: 40Pitch: 179.94 | Setpoint: 180.22 | Error: -0.28 | Output: 1.50
